Protein,Synonym,Mentions
C-C motif chemokine 19,EBI1-ligand chemokine,1
Interleukin-8,Monocyte-derived neutrophil chemotactic factor,1
Stromal cell-derived factor 1,SCYB12,0
C-C motif chemokine 3,G0S19-1,0
Macrophage colony-stimulating factor 1,macrophage colony stimulating factor 1,0
C-X-C motif chemokine 11,SCYB9B,0
Interleukin-8,Monocyte-derived neutrophil-activating peptide,0
C-C motif chemokine 19,exodus-3,0
Granulocyte colony-stimulating factor,pluripoietin,0
Macrophage colony-stimulating factor 1,MGC31930,0
Granulocyte colony-stimulating factor,C17orf33,0
Oxidized low-density lipoprotein receptor 1,SCARE1,0
Eotaxin,MGC22554,0
Interleukin-33,DVS27-related protein,0
C-C motif chemokine 13,SCYA13,0
Interleukin-33,C9orf26,0
Interleukin-33,DKFZp586H0523,0
Interleukin-8,Granulocyte chemotactic protein 1,0
C-C motif chemokine 2,small-inducible cytokine A2,0
Interleukin-4,B cell growth factor 1,0
Interleukin-27,IL-27A,0
Tumor necrosis factor ligand superfamily member 12,DR3LG,0
Interleukin-10,IL10A,0
Pro-epidermal growth factor,Epidermal growth factor precursor,0
Oncostatin-M,MGC20461,0
Interleukin-18,IL1F4,0
Interleukin-8,Emoctakin,0
C-C motif chemokine 4,LAG1,0
Protransforming growth factor alpha,ETGF,0
C-C motif chemokine 19,MIP-3-beta,0
Hepatocyte growth factor,lung fibroblast-derived mitogen,0
C-C motif chemokine 2,monocyte secretory protein JE,0
Interleukin-17C,CX2,0
C-C motif chemokine 19,macrophage inflammatory protein 3-beta,0
Hepatocyte growth factor,fibroblast-derived tumor cytotoxic factor,0
Tumor necrosis factor ligand superfamily member 10,CD253,0
Vascular endothelial growth factor A,L-VEGF,0
Interleukin-17C,MGC138401,0
Interleukin-6,IFNB2,0
Macrophage colony-stimulating factor 1,Lanimostim,0
Interleukin-8,Neutrophil-activating protein 1,0
Interleukin-15,MGC9721,0
Interleukin-33,IL1F11,0
Tumor necrosis factor ligand superfamily member 12,TNF12,0
Interleukin-33,DVS27,0
Oxidized low-density lipoprotein receptor 1,CLEC8A,0
Interleukin-10,T-cell growth inhibitory factor,0
C-X-C motif chemokine 9,Gamma-interferon-induced monokine,0
C-C motif chemokine 19,CK beta-11,0
C-C motif chemokine 7,NC28,0
Interleukin-4,lymphocyte stimulatory factor 1,0
Interleukin-27,IL27A,0
Interleukin-4,Pitrakinra,0
Interleukin-17F,Cytokine ML-1,0
Interleukin-33,NF-HEV,0
Interleukin-6,interferon beta 2,0
Interleukin-6,Hybridoma growth factor,0
C-X-C motif chemokine 10,mob-1,0
Interleukin-8,T-cell chemotactic factor,0
Tumor necrosis factor ligand superfamily member 12,APO3L,0
C-C motif chemokine 13,CKb10,0
Granulocyte colony-stimulating factor,MGC45931,0
Interleukin-8,Protein 3-10C,0
Fms-related tyrosine kinase 3 ligand,SL cytokine,0
Interleukin-17A,Cytotoxic T-lymphocyte-associated antigen 8,0
C-C motif chemokine 19,SCYA19,0
Thymic stromal lymphopoietin,thymic stroma-derived lymphopoietin,0
Tumor necrosis factor ligand superfamily member 12,APO3 ligand,0
C-X-C motif chemokine 10,gIP-10,0
Interstitial collagenase,Fibroblast collagenase,0
Interleukin-1 beta,Catabolin,0
Tumor necrosis factor,TNF superfamily member 2,0
C-C motif chemokine 19,CKb11,0
Interleukin-17C,MGC126884,0
C-C motif chemokine 19,CC chemokine ligand 19,0
Interleukin-27,MGC71873,0
Interleukin-4,B_cell stimulatory factor 1,0
C-C motif chemokine 2,HC11,0
C-X-C motif chemokine 11,H174,0
Interleukin-17A,CTLA8,0
C-X-C motif chemokine 11,b-R1,0
Eotaxin,Small-inducible cytokine A11,0
C-C motif chemokine 19,Beta-chemokine exodus-3,0
Interleukin-1 beta,IL1F2,0
